"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Matt Skole","Nationals (A)","22","448","21.0 %","25.9 %","0.81",".286",".438",".574","1.013",".289","4.1",".345","1.4","97","41.5",".449","174","sa526563"
"Colin Walsh","Cardinals (A)","22","425","14.1 %","15.3 %","0.92",".314",".419",".530",".949",".215","4.9",".343","-0.7","84","32.9",".423","164","10961"
"Harold Riggins","Rockies (A)","22","379","9.8 %","27.4 %","0.36",".302",".388",".546",".934",".244","3.9",".385","-1.0","73","25.8",".418","155","sa546789"
"Gregory Polanco","Pirates (A)","20","485","9.1 %","13.2 %","0.69",".325",".388",".522",".910",".197","7.6",".352","0.8","90","29.8",".410","149","12907"
"Brenden Webb","Orioles (A)","22","409","21.3 %","26.4 %","0.81",".251",".422",".457",".878",".206","6.6",".344","1.7","75","24.4",".408","148","sa502672"
"Alen Hanson","Pirates (A)","19","558","9.9 %","18.8 %","0.52",".309",".381",".528",".909",".219","7.9",".364","-1.9","103","32.9",".407","147","12926"
"Austin Barnes","Marlins (A)","22","566","10.4 %","10.8 %","0.97",".318",".401",".481",".882",".163","4.7",".343","0.2","102","31.8",".403","145","12158"
"Taylor Featherston","Rockies (A)","22","444","11.9 %","19.6 %","0.61",".299",".393",".495",".887",".196","6.7",".357","0.7","80","24.8",".403","145","12590"
"Drew Robinson","Rangers (A)","20","507","17.0 %","24.3 %","0.70",".273",".409",".444",".853",".171","5.0",".360","-1.8","89","26.1",".397","141","11761"
"Miguel Sano","Twins (A)","19","553","14.5 %","26.0 %","0.56",".258",".373",".521",".893",".263","4.9",".307","0.1","98","31.0",".396","146","12164"
"Keury De La Cruz","Red Sox (A)","20","506","5.1 %","20.0 %","0.26",".308",".352",".536",".888",".228","7.1",".359","0.2","89","25.4",".396","140","sa506223"
"Shawn Payne","Giants (A)","22","482","12.7 %","14.7 %","0.86",".309",".413",".430",".842",".121","8.1",".361","8.6","83","23.3",".394","139","sa502425"
"Daniel Paolini","Mariners (A)","22","473","10.4 %","13.3 %","0.78",".299",".376",".493",".869",".194","3.2",".317","-0.1","83","25.5",".393","145","sa577980"
"Trevor Story","Rockies (A)","19","548","10.9 %","22.1 %","0.50",".277",".367",".505",".872",".229","7.2",".335","1.1","95","26.3",".393","138","12564"
"Kelly Dugan","Phillies (A)","21","498","9.6 %","24.5 %","0.39",".300",".387",".470",".857",".170","5.0",".391","-0.1","86","23.7",".393","138","sa500838"
"Anthony Garcia","Cardinals (A)","20","444","7.7 %","24.1 %","0.32",".280",".354",".525",".879",".245","4.2",".338","-2.1","77","23.2",".391","143","sa502038"
"Matt Smith","Marlins (A)","24","383","9.1 %","27.2 %","0.34",".279",".358",".506",".864",".226","2.9",".346","-0.9","65","17.3",".390","136","sa503830"
"Billy Burns","Nationals (A)","22","485","13.4 %","14.0 %","0.96",".322",".432",".382",".814",".060","7.5",".387","2.9","82","21.4",".388","135","12701"
"Brent Keys","Marlins (A)","21","422","8.1 %","7.1 %","1.13",".335",".394",".449",".843",".114","6.5",".352","0.8","71","18.5",".388","135","sa501959"
"Delino DeShields","Astros (A)","19","523","13.4 %","20.7 %","0.65",".298",".401",".439",".839",".141","8.6",".373","9.8","88","22.4",".387","134","11379"
"Matt Duffy","Astros (A)","23","587","8.2 %","18.1 %","0.45",".280",".387",".447",".834",".167","3.7",".324","-0.9","98","24.9",".386","134","12181"
"Kevin Pillar","Blue Jays (A)","23","375","9.3 %","14.1 %","0.66",".322",".390",".451",".841",".128","7.3",".371","4.3","63","17.6",".384","139","12434"
"Cam Maron","Mets (A)","21","409","13.0 %","17.8 %","0.73",".300",".403",".408",".811",".108","3.3",".366","-0.6","67","15.7",".381","131","sa503041"
"Garin Cecchini","Red Sox (A)","21","526","11.6 %","17.1 %","0.68",".305",".394",".433",".827",".127","7.8",".371","6.9","85","19.7",".380","130","11608"
"O'Koyea Dickson","Dodgers (A)","22","451","10.2 %","14.4 %","0.71",".272",".366",".479",".845",".207","4.4",".285","-0.5","74","19.4",".379","136","12677"
"Mark Haddow","White Sox (A)","24","458","11.1 %","18.6 %","0.60",".306",".388",".434",".822",".128","5.5",".372","-0.3","73","16.2",".377","128","sa598782"
"William Beckwith","Braves (A)","21","426","7.7 %","21.6 %","0.36",".291",".360",".478",".838",".186","4.1",".348","-1.0","68","15.1",".377","128","sa549500"
"Chris Grayson","Rangers (A)","22","433","12.5 %","21.2 %","0.59",".266",".373",".451",".823",".184","8.3",".327","1.4","69","15.1",".377","128","sa598833"
"Brandon Macias","Brewers (A)","23","560","10.4 %","13.0 %","0.79",".288",".388",".423",".811",".135","4.4",".325","-3.1","89","21.8",".374","132","sa545208"
"Eddie Rosario","Twins (A)","20","429","7.2 %","16.1 %","0.45",".296",".345",".490",".835",".194","5.2",".329","-2.6","68","16.1",".372","131","12155"
"Cameron Seitzer","Rays (A)","22","488","11.3 %","17.0 %","0.66",".307",".386",".429",".815",".123","2.6",".368","-0.5","77","17.8",".371","130","sa578022"
"Ben McMahan","Brewers (A)","22","449","6.5 %","28.7 %","0.22",".287",".335",".500",".835",".213","6.4",".381","-0.5","70","16.1",".370","130","sa455566"
"Jordan Smith","Indians (A)","21","515","6.8 %","10.1 %","0.67",".316",".367",".453",".820",".137","5.8",".338","0.3","80","18.2",".370","129","sa579297"
"Yeison Asencio","Padres (A)","22","378","4.2 %","10.1 %","0.42",".323",".353",".474",".827",".151","5.0",".338","-1.3","59","13.3",".370","129","sa548016"
"Juan Silva","Reds (A)","21","465","14.8 %","23.4 %","0.63",".271",".380",".413",".794",".142","5.9",".351","-0.3","71","14.4",".364","126","sa501563"
"Sam Mende","Rockies (A)","22","479","6.1 %","19.0 %","0.32",".281",".340",".467",".808",".186","7.0",".328","0.6","72","11.9",".364","120","sa577969"
"Eugenio Suarez","Tigers (A)","20","604","10.8 %","19.2 %","0.56",".288",".380",".409",".789",".121","5.9",".356","0.1","92","18.7",".364","126","12552"
"Jabari Blash","Mariners (A)","22","471","12.7 %","28.5 %","0.45",".245",".355",".433",".787",".188","6.6",".328","-0.6","71","13.6",".361","124","11247"
"Jeff Malm","Rays (A)","21","540","11.5 %","23.5 %","0.49",".263",".356",".438",".793",".175","4.4",".330","-0.3","80","15.3",".361","123","sa501489"
"Todd Glaesmann","Rays (A)","21","392","5.6 %","22.7 %","0.25",".281",".338",".469",".806",".188","6.6",".336","0.2","58","11.0",".360","123","sa501261"
"Kevin Patterson","Blue Jays (A)","23","450","11.6 %","27.6 %","0.42",".245",".340",".465",".805",".220","3.7",".305","0.2","67","12.5",".360","123","sa392161"
"Cutter Dykstra","Nationals (A)","23","492","8.7 %","16.9 %","0.52",".291",".366",".408",".774",".117","6.0",".344","4.5","72","10.5",".360","117","sa454428"
"Tyler Massey","Rockies (A)","22","437","8.0 %","17.6 %","0.45",".292",".350",".437",".787",".145","6.7",".339","0.8","64","9.3",".360","117","sa455277"
"Jace Peterson","Padres (A)","22","521","11.9 %","12.1 %","0.98",".286",".378",".392",".770",".106","8.5",".328","4.4","77","14.0",".359","122","12325"
"Boss Moanaroa","Red Sox (A)","20","448","17.2 %","25.2 %","0.68",".262",".391",".365",".756",".103","2.4",".357","-0.9","65","9.1",".358","116","sa503858"
"Justin Trapp","Royals (A)","21","530","8.7 %","21.7 %","0.40",".272",".352",".430",".783",".158","7.5",".336","0.8","78","13.8",".358","122","sa503022"
"Zach Cone","Rangers (A)","22","475","8.2 %","23.2 %","0.35",".262",".326",".461",".787",".199","6.5",".314","1.5","68","8.7",".356","115","sa454512"
"Dan Gamache","Pirates (A)","21","502","8.2 %","18.9 %","0.43",".285",".350",".430",".780",".145","5.5",".348","-0.9","71","8.7",".355","114","sa597966"
"Caleb Ramsey","Nationals (A)","23","510","7.3 %","9.0 %","0.80",".294",".352",".420",".772",".126","7.5",".314","-0.6","72","8.8",".355","114","sa526470"
"Nicky Delmonico","Orioles (A)","19","393","12.0 %","18.6 %","0.64",".249",".351",".411",".762",".163","4.1",".286","0.7","56","6.7",".354","114","13157"
"Zeke DeVoss","Cubs (A)","21","581","14.1 %","20.3 %","0.69",".249",".382",".370",".752",".120","7.6",".319","-0.1","84","13.6",".354","119","sa503303"
"Jared Simon","Rockies (A)","23","466","7.3 %","24.2 %","0.30",".266",".342",".429",".771",".162","4.3",".332","-0.8","66","7.9",".354","114","sa548345"
"Maikel Franco","Phillies (A)","19","554","6.9 %","14.4 %","0.48",".280",".336",".439",".775",".159","3.9",".306","-0.4","78","8.5",".352","112","12179"
"Kevan Smith","White Sox (A)","24","379","6.6 %","16.4 %","0.40",".282",".344",".421",".765",".138","2.0",".324","-0.9","53","5.4",".351","112","12284"
"K.C. Hobson","Blue Jays (A)","21","556","10.1 %","15.3 %","0.66",".276",".345",".433",".778",".157","2.8",".309","-0.3","79","11.5",".351","117","sa501541"
"Drew Vettleson","Rays (A)","20","562","9.1 %","20.8 %","0.44",".275",".340",".432",".772",".156","6.1",".328","-0.9","79","11.3",".350","117","sa548166"
"Jose Osuna","Pirates (A)","19","524","5.9 %","15.6 %","0.38",".280",".324",".454",".779",".174","2.8",".304","-1.4","73","7.1",".350","111","12937"
"Jorge Bonifacio","Royals (A)","19","448","6.7 %","18.8 %","0.36",".282",".336",".432",".768",".150","5.3",".333","-0.3","63","8.7",".349","116","12174"
"Ryan Wright","Reds (A)","22","429","7.5 %","11.9 %","0.63",".285",".343",".424",".767",".139","6.9",".316","2.2","60","8.1",".349","116","sa577732"
"Dustin Lawley","Mets (A)","23","543","9.2 %","22.5 %","0.41",".261",".333",".434",".767",".172","5.9",".318","0.5","75","6.7",".348","110","sa599380"
"Jake Hager","Rays (A)","19","501","8.0 %","12.0 %","0.67",".281",".345",".412",".757",".131","5.3",".302","-1.5","69","8.7",".347","114","sa600840"
"Brett Newsome","Nationals (A)","25","392","8.7 %","22.7 %","0.38",".267",".335",".426",".761",".159","3.7",".332","0.0","53","4.2",".346","109","sa455969"
"Kyle Gaedele","Padres (A)","22","476","11.1 %","24.8 %","0.45",".258",".351",".398",".749",".140","7.5",".348","1.9","66","8.1",".346","114","sa579865"
"Ramon Morla","Mariners (A)","22","442","3.8 %","23.1 %","0.17",".278",".312",".473",".785",".195","7.1",".333","0.8","61","7.5",".346","114","sa509509"
"Kyle Waldrop","Reds (A)","20","469","8.1 %","16.4 %","0.49",".284",".346",".421",".767",".137","5.7",".328","-0.7","65","7.9",".346","114","11402"
"Sean Jamieson","- - -","23","607","12.4 %","17.5 %","0.71",".244",".354",".389",".743",".145","6.7",".284","2.8","83","10.1",".346","114","sa598483"
"Jerrud Sabourin","Indians (A)","22","538","9.5 %","14.3 %","0.66",".297",".369",".379",".748",".083","3.8",".343","0.5","74","9.0",".346","114","sa546776"
"Matt Helm","Diamondbacks (A)","21","592","9.8 %","25.0 %","0.39",".271",".349",".402",".751",".131","4.1",".357","0.2","81","9.8",".346","114","sa501513"
"Kyle Kubitza","Braves (A)","21","531","13.7 %","23.9 %","0.57",".239",".349",".393",".742",".154","6.6",".310","-1.8","71","5.1",".345","108","12148"
"Travis Whitmore","Padres (A)","23","469","10.2 %","20.0 %","0.51",".277",".356",".394",".750",".117","5.8",".349","-1.2","64","7.3",".344","113","sa546623"
"Chadwin Stang","Brewers (A)","23","540","8.0 %","26.7 %","0.30",".270",".333",".420",".753",".150","8.0",".364","0.8","73","7.9",".343","112","sa501594"
"David Renfroe","Red Sox (A)","21","397","8.3 %","17.4 %","0.48",".256",".330",".417",".747",".161","3.7",".291","0.4","53","3.2",".343","107","sa501259"
"Trever Adams","Rangers (A)","23","448","6.5 %","16.3 %","0.40",".286",".331",".421",".752",".136","4.3",".325","-0.7","60","3.6",".343","106","sa546549"
"Tim Ferguson","Royals (A)","23","416","8.4 %","12.0 %","0.70",".283",".346",".392",".738",".109","5.3",".315","-1.2","56","5.3",".341","111","sa526812"
"Dillon Hazlett","Mariners (A)","23","375","6.7 %","20.5 %","0.32",".266",".335",".405",".740",".139","5.9",".327","-2.2","50","4.7",".340","110","sa599180"
"Bryson Myles","Indians (A)","22","418","7.9 %","20.3 %","0.39",".290",".355",".379",".734",".089","4.9",".364","-1.3","56","5.2",".340","110","sa597971"
"Josh Adams","Marlins (A)","23","546","8.2 %","17.6 %","0.47",".264",".327",".417",".744",".153","1.7",".299","-1.2","71","3.2",".340","105","sa392238"
"Zach Johnson","Astros (A)","24","607","12.4 %","15.2 %","0.82",".238",".339",".406",".745",".167","1.8",".255","-1.1","79","3.5",".340","105","sa550332"
"Luigi Rodriguez","Indians (A)","19","521","9.6 %","25.5 %","0.38",".268",".338",".406",".744",".138","6.7",".350","0.8","69","6.1",".339","110","sa547914"
"Ryan Goetz","Marlins (A)","24","440","9.8 %","12.3 %","0.80",".273",".347",".385",".733",".112","4.4",".303","-0.6","57","2.2",".339","104","sa598324"
"Ryan Brett","Rays (A)","20","456","8.1 %","16.0 %","0.51",".285",".348",".393",".741",".107","8.1",".332","6.0","60","5.3",".339","110","12138"
"Kenny Wilson","Blue Jays (A)","22","421","10.5 %","17.8 %","0.59",".252",".360",".358",".718",".106","9.1",".307","4.6","56","4.8",".339","109","sa454437"
"Andy Workman","Angels (A)","23","478","5.9 %","15.3 %","0.38",".278",".329",".423",".752",".145","6.0",".304","0.3","63","5.4",".339","109","sa546865"
"Ben Gamel","Yankees (A)","20","476","4.8 %","14.9 %","0.32",".306",".342",".394",".737",".088","6.1",".356","-1.1","62","2.2",".339","104","12160"
"Ryan Court","Diamondbacks (A)","24","437","8.7 %","25.4 %","0.34",".264",".341",".399",".740",".136","5.4",".347","0.6","58","4.8",".338","109","sa579055"
"Juan Perez","Reds (A)","20","555","9.2 %","15.9 %","0.58",".253",".336",".398",".734",".145","6.7",".290","-1.3","73","5.5",".337","108","sa599306"
